"x","y"
-86.4809,27.9524
-82.4225,24.8524
-79.6587,22.8224
-77.6177,21.4031
-75.988,20.3423
-74.6138,19.5127
-73.4202,18.8513
-72.3652,18.3228
-71.4195,17.9023
-70.5613,17.5715
-69.7746,17.3167
-69.0471,17.1275
-68.3691,16.9958
-67.7331,16.9151
-67.1326,16.8801
-66.5623,16.8865
-66.0175,16.9307
-65.4941,17.0101
-64.9887,17.1227
-64.4979,17.2668
-64.0191,17.4413
-63.5497,17.6453
-63.0877,17.8783
-62.6314,18.1396
-62.1795,18.4289
-61.7307,18.7458
-61.2843,19.0897
-60.8393,19.4603
-60.3952,19.8568
-59.9512,20.2786
-59.5068,20.7248
-59.0613,21.1943
-58.6141,21.6859
-58.1648,22.198
-57.7129,22.7289
-57.2582,23.2766
-56.8004,23.8389
-56.3396,24.4135
-55.8758,24.9978
-55.4091,25.5896
-54.9399,26.1863
-54.4684,26.7856
-53.995,27.3855
-53.5201,27.9841
-53.0441,28.5797
-52.5676,29.1709
-52.0907,29.7565
-51.614,30.3358
-51.1377,30.9082
-50.6621,31.4733
-50.1874,32.031
-49.7137,32.5813
-49.2411,33.1243
-48.7698,33.6602
-48.2996,34.1891
-47.8307,34.7113
-47.3629,35.2267
-46.8961,35.7353
-46.43,36.2366
-45.9645,36.7303
-45.4992,37.2156
-45.0337,37.6916
-44.5678,38.1576
-44.1009,38.6124
-43.6327,39.0553
-43.1627,39.4854
-42.6906,39.9022
-42.2159,40.305
-41.7383,40.6936
-41.2574,41.0677
-40.773,41.4273
-40.2846,41.7722
-39.792,42.1023
-39.2948,42.4177
-38.7927,42.7183
-38.2852,43.0039
-37.772,43.2744
-37.2524,43.5295
-36.7261,43.7688
-36.1922,43.992
-35.6503,44.1987
-35.0996,44.3883
-34.5395,44.5606
-33.969,44.7151
-33.3877,44.8517
-32.7948,44.9702
-32.1896,45.0705
-31.5718,45.1528
-30.9407,45.2173
-30.2962,45.2643
-29.638,45.2942
-28.966,45.3078
-28.2804,45.3056
-27.5813,45.2887
-26.869,45.2581
-26.1438,45.215
-25.4063,45.1608
-24.657,45.097
-23.8964,45.0249
-23.1251,44.9461
-22.3438,44.8619
-21.5533,44.7734
-20.7542,44.6818
-19.9474,44.5878
-19.1335,44.4921
-18.3135,44.3954
-17.4882,44.2983
-16.6585,44.2013
-15.8252,44.1052
-14.9895,44.0108
-14.1522,43.9189
-13.3144,43.8306
-12.477,43.747
-11.641,43.6696
-10.8074,43.5995
-9.97706,43.5382
-9.15095,43.487
-8.32988,43.4473
-7.51462,43.42
-6.7059,43.4061
-5.90436,43.4062
-5.11059,43.4208
-4.32509,43.4501
-3.54827,43.4942
-2.78049,43.5532
-2.02201,43.6271
-1.27304,43.7162
-0.533692,43.8208
0.195977,43.9415
0.915983,44.0788
1.62641,44.2336
2.32738,44.4071
3.01907,44.6003
3.70171,44.8145
4.37551,45.0511
5.0407,45.3112
5.69748,45.596
6.34602,45.9065
6.98649,46.2434
7.61906,46.6072
8.244,46.9985
8.86174,47.4173
9.47294,47.8643
10.0786,48.3396
10.68,48.8441
11.2789,49.3785
11.8775,49.9441
12.478,50.5421
13.0832,51.1742
13.6959,51.8422
14.3191,52.5484
14.9559,53.2955
15.6097,54.0866
16.2841,54.9259
16.9832,55.8189
17.7114,56.7724
18.4742,57.7957
19.2784,58.9014
20.1324,60.106
21.0472,61.4318
22.0378,62.9107
23.1327,64.6039
24.393,66.6472
25.9456,69.3252
28.0275,73.1721
